Drug,Class
Erenumab-aooe, Calcitonin Gene-related Peptide (CGRP) Antagonists
Fanapt,Atypical antipsychotics
Fansidar,Antimalarial combinations
Fareston,Hormones / antineoplastics
Farxiga,SGLT-2 inhibitors
Farydak,Histone deacetylase inhibitors
Fasenra,Interleukin inhibitors
Faslodex,Estrogen receptor antagonists
Fat Emulsion (Fish Oil and Plant Based),Caloric Agent
FazaClo,Atypical antipsychotics
PrabotulinumtoxinA-xvfs, Other Miscellaneous Therapeutic Agents
Ergocalciferol, Vitamin D
Pradaxa,Thrombin inhibitors
Pralatrexate, Antineoplastic Agents
Pralidoxime, Antidotes
Pralsetinib, Antineoplastic Agents
Praluent,PCSK9 inhibitors
Pramoxine and Hydrocortisone,Anesthetic/Corticosteroid
Pramipexole, Nonergot-derivative Dopamine Receptor Agonists
Hydrocortisone and Pramoxine Cream Singles,Anorectal preparations
Acella Hydrocortisone Acetate - Pramoxine Singles,Anorectal preparations
PrandiMet,Antidiabetic combinations
Ergoloid Mesylates,Ergot Derivative
Prandin,Meglitinides
Prascion Cleanser,Topical antibiotics
Prasterone, Adrenals
Prasugrel, Platelet-aggregation Inhibitors
Pravachol,Statins
Pravastatin, HMG-CoA Reductase Inhibitors
Pravigard PAC,Antihyperlipidemic combinations
Praxbind,Anticoagulant reversal agents
Praziquantel, Anthelmintics
Prazosin, alpha-Adrenergic Blocking Agents
Ergomar Sublingual Tablets,Antimigraine agents
Precedex,"Miscellaneous anxiolytics, sedatives and hypnotics"
Precose,Alpha-glucosidase inhibitors
Pred Forte,Ophthalmic steroids
Pred-G Ophthalmic Suspension,Ophthalmic steroids with anti-infectives
Pred-Mild,Ophthalmic steroids
Pred G,Ophthalmic steroids with anti-infectives
Prednicarbate, Corticosteroids
prednisoLONE (Systemic), Adrenals
Sulfacetamide and Prednisolone,"Antibiotic/Corticosteroid, Ophthalmic"
Prefest,Sex hormone combinations
Ergotamine, Non-selective alpha-Adrenergic Blocking Agents
Pregabalin," Anticonvulsants, Miscellaneous"
Pregnyl,Gonadotropins
Premarin,Estrogens
Premarin Cream,Estrogens
Premphase Prempro,Sex hormone combinations
Prepcat Suspension,Non-iodinated contrast media
Prepcat,Non-iodinated contrast media
Prepidil,Uterotonic agents
Prepopik,Laxatives
Prestalia,ACE inhibitors with calcium channel blocking agents
Ergotamine and Caffeine,Antimigraine Agent
Pretomanid, Antituberculosis Agents
Prevacid,Proton pump inhibitors
Lansoprazole, Proton-pump Inhibitors
Prevacid NapraPAC,Nonsteroidal anti-inflammatory drugs
Prevalite,Bile acid sequestrants
Previfem,Contraceptives
Prevpac,H. pylori eradication agents
Prevymis,Miscellaneous antivirals
Prexxartan Oral Solution,Angiotensin receptor blockers
eriBULin, Antineoplastic Agents
Prezcobix,Antiviral combinations
Prezista,Protease inhibitors
Prialt,Miscellaneous analgesics
Priftin,Rifamycin derivatives
Prilocaine, Local Anesthetics
Prilocaine with Epinephrine Injection,Local injectable anesthetics
Prilosec,Proton pump inhibitors
Milrinone, Cardiotonic Agents
Primlev,Narcotic analgesic combinations
Primaquine, Antimalarials
Erivedge,Hedgehog pathway inhibitors
Primatene,Adrenergic bronchodilators
Primaxin IM,Carbapenems
Primaxin IV,Carbapenems
Primidone, Barbiturates
Primsol Oral Solution,Urinary anti-infectives
Prinivil,Angiotensin Converting Enzyme Inhibitors
Prinzide,ACE inhibitors with thiazides
Pristiq,Serotonin-norepinephrine reuptake inhibitors
Privigen,Immune globulins
Pro-Banthine,Anticholinergics / antispasmodics
Erleada,Antiandrogens
ProAir Digihaler,Adrenergic bronchodilators
ProAir HFA,Adrenergic bronchodilators
ProAir Respiclick,Adrenergic bronchodilators
ProCentra,CNS stimulants
Fenoprofen, Other Nonsteroidal Anti-inflammatory Agents
ProHance,Magnetic resonance imaging contrast media
ProQuad,Vaccine combinations
ProAmatine,Miscellaneous cardiovascular agents
Probenecid Colchicine,Antigout agents
Erlotinib, Antineoplastic Agents
Procainamide, Class Ia Antiarrhythmics
Procarbazine, Antineoplastic Agents
Procardia,Calcium channel blocking agents
Procardia XL,Calcium channel blocking agents
Prochlorperazine, Phenothiazines
Procrit,Recombinant human erythropoietins
Proctocort Cream,Topical steroids
Proctocort,Topical steroids
Proctocream HC,Topical steroids
Proctozone HC Cream,Topical steroids
Phenylephrine (Topical),Alpha-Adrenergic Agonist 
Errin,Contraceptives
Procysbi Delayed Release,Miscellaneous uncategorized agents
"Acetaminophen, Caffeine, and Isometheptene Mucate",Antimigraine Agent
Proglycem,Agents for hypertensive emergencies
Prograf,Calcineurin inhibitors
Prolastin-C,Miscellaneous respiratory agents
Prolate Oral Solution,Narcotic analgesic combinations
Prolate,Narcotic analgesic combinations
Prolensa,Ophthalmic anti-inflammatory agents
Proleukin,Interleukins
Ertaczo,Topical antifungals
Prolia,Miscellaneous bone resorption inhibitors
Prolixin,Phenothiazine antipsychotics
fluPHENAZine, Phenothiazines
Prolixin,Phenothiazine antipsychotics
Proloprim,Urinary anti-infectives
Promethazine, First Generation Antihistamines
Promacta,Platelet-stimulating agents
Promethazine DM,Upper respiratory combinations
"Promethazine, Phenylephrine, and Codeine",Alpha-Adrenergic Agonist 
Promethazine VC with Codeine,Upper respiratory combinations
Ertapenem, Carbapenems
Promethazine and Dextromethorphan,Antitussive
Promethegan,Antihistamines
Prometrium,Progestins
Pronestyl,Group I antiarrhythmics
Propafenone, Class Ic Antiarrhythmics
Propantheline, Antimuscarinics/Antispasmodics
Fluorecein and Proparacaine Opthahalmic Solution,Ophthalmic diagnostic agents
Propecia,5-alpha-reductase inhibitors
Propine,Ophthalmic glaucoma agents
Propofol," General Anesthetics, Miscellaneous"
Ertugliflozin, Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors
Propoven,General anesthetics
Propoxyphene Capsules,Narcotic analgesics
Propranolol, beta-Adrenergic Blocking Agents
Propranolol and Hydrochlorothiazide,Antihypertensive
Propylthiouracil, Antithyroid Agents
Proquin XR,Quinolones
Proscar,5-alpha-reductase inhibitors
Prosom,Benzodiazepines
Neostigmine, Parasympathomimetic (Cholinergic) Agents
Prostin E2,Uterotonic agents
Ertugliflozin and Metformin,"Antidiabetic Agent, Biguanide"
Prostin VR Pediatric,Impotence agents
Protamine, Antiheparin Agents
Protein C Concentrate," Anticoagulants, Miscellaneous"
Prothrombin Complex Concentrate, Hemostatics
Thyrotropin Releasing Hormone TRH,Miscellaneous uncategorized agents
Protonix,Proton pump inhibitors
Pantoprazole, Proton-pump Inhibitors
Protopam,Antidotes
Protopic,Miscellaneous topical agents
Protriptyline, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Ertugliflozin and Sitagliptin,"Antidiabetic Agent, Dipeptidyl Peptidase 4 (DPP-4) Inhibitor"
ProvayBlue,Antidotes
Provenge,Therapeutic vaccines
Proventil HFA,Adrenergic bronchodilators
Provera,Contraceptives
Provigil,CNS stimulants
Provocholine,Miscellaneous uncategorized agents
Prozac Capsules,Selective serotonin reuptake inhibitors
Prozac Weekly,Selective serotonin reuptake inhibitors
Prucalopride, Prokinetic Agents
Prudoxin,Topical antihistamines
Asparaginase (Erwinia chrysanthemi), Antineoplastic Agents
Prussian Blue, Other Ion-removing Agents
Fiasp Injection,Insulin
Insulin Aspart, Rapid-acting Insulins
Fibricor,Fibric acid derivatives
Fibrinogen (Human), Hemostatics
Fidaxomicin, Other Macrolides
Finacea,Topical acne agents
Finasteride, 5-alpha-Reductase Inhibitors
Fingolimod, Immunomodulatory Agents
Fintepla,CNS stimulants
Erwinaze,Miscellaneous antineoplastics
Fioricet,Analgesic combinations
Fioricet with Codeine,Narcotic analgesic combinations
Fiorinal,Analgesic combinations
Fiorinal with Codeine,Narcotic analgesic combinations
Firazyr,Hereditary angioedema agents
Firdapse,Cholinergic muscle stimulants
Firmagon,Gonadotropin-releasing hormone antagonists
Firvanq,Glycopeptide antibiotics
Chantix,Smoking cessation agents
Chemet,Chelating agents
Erythromycin (Topical), Antibacterials
Chenodal,Gallstone solubilizing agents
Chenodiol, Cholelitholytic Agents
Children's Tylenol Suspension,Miscellaneous analgesics
Topcare Childrens All Day Allergy,Antihistamines
Mucinex for Kids,Upper respiratory combinations
ChiRhoStim,In vivo diagnostic biologicals
Chlor-Trimeton 12 Hour,Antihistamines
Chloraprep One-Step,Antiseptic and germicides
Chlorambucil, Antineoplastic Agents
Chloramphenicol, Chloramphenicol
Ery-Tab,Macrolides
Chlordiazepoxide, Benzodiazepines
Chlordiazepoxide and Clidinium Capsules,Anticholinergics / antispasmodics
Magnesium Chloride Injection,Minerals and electrolytes
Chloromag,Minerals and electrolytes
Chloromycetin,Miscellaneous antibiotics
Chloroprocaine,Local Anesthetic
Codeine and Chlorpheniramine,"Analgesic, Opioid"
Hydrocodone and Chlorpheniramine,Alkylamine Derivative
"Chlorpheniramine, Pseudoephedrine, and Codeine",Alkylamine Derivative
"Chlorpheniramine, Phenylephrine, and Dextromethorphan",Alkylamine Derivative
Bismuth Subsalicylate Suspension,Antidiarrheals
Phenytek,Group I antiarrhythmics
EryPed 200,Macrolides
chlorproMAZINE, Phenothiazines
Chlorpropamide, Sulfonylureas
Chlorthalidone, Thiazide-like Diuretics
Cholbam,Digestive enzymes
Cholera Vaccine Live Oral, Vaccines
Cholestyramine, Bile Acid Sequestrants
Cholestyramine Light,Bile acid sequestrants
Choletec,Radiologic conjugating agents
Choline Magnesium Trisalicylate,Salicylate
Chromium,Minerals and electrolytes
EryPed,Macrolides
Sodium Chromate CR 51,Diagnostic radiopharmaceuticals
Thalidomide, Immunomodulatory Agents
Thalitone,Thiazide diuretics
Thallous Chloride,Diagnostic radiopharmaceuticals
Thalomid,Leprostatics
Tham,Minerals and electrolytes
Tham,Minerals and electrolytes
Theo-24,Methylxanthines
Thermazene,Topical antibiotics
Thioguanine, Antineoplastic Agents
Eryc,Macrolides
Thiola Tablets,Miscellaneous genitourinary tract agents
Thiola EC Tablets,Miscellaneous genitourinary tract agents
Tiopronin,Miscellaneous genitourinary tract agents
Thioridazine,First Generation (Typical) Antipsychotic
Thiothixene, Thioxanthenes
Antithrombin III," Anticoagulants, Miscellaneous"
Thrombin, Hemostatics
Thrombin (Recombinant), Hemostatics
Thymoglobulin,Selective immunosuppressants
Levothyroxine, Thyroid Agents
Erygel,Topical acne agents
Thyroshield,Antithyroid agents
Thyrogen,In vivo diagnostic biologicals
Thyrolar,Thyroid drugs
Thyrotropin Alfa, Thyroid Function
Pylarify,Diagnostic radiopharmaceuticals
Pylera,H. pylori eradication agents
Pyrazinamide, Antituberculosis Agents
Pyridium,Miscellaneous genitourinary tract agents
Pyrimethamine, Antimalarials
Technetium TC 99M Pyrophosphate,Radiologic conjugating agents
Erythrocin Injection USP,Macrolides
Fragmin,Heparins
Fremanezumab-vfrm, Calcitonin Gene-related Peptide (CGRP) Antagonists
Frova,Antimigraine agents
Frovatriptan, Selective Serotonin Agonists
U-cort,Topical steroids
Uceris Foam,Glucocorticoids
Uceris Tablets,Glucocorticoids
Xhance,Nasal steroids
Fluticasone (EENT), Corticosteroids
Macimorelin,Diagnostic Agent
Erythromycin (Systemic), Erythromycins
Macitentan, Vasodilating Agents
Macrilen,Growth hormones
Macrobid,Urinary anti-infectives
Macrodantin,Urinary anti-infectives
Macugen,Anti-angiogenic ophthalmic agents
Mafenide," Local Anti-infectives, Miscellaneous"
Magnesium Sulfate," Anticonvulsants, Miscellaneous"
Magnacet,Narcotic analgesic combinations
Magnesium Gluconate,"Electrolyte Supplement, Oral"
Magnesium Citrate,"Laxative, Saline"
Erythrocin,Macrolides
Magnesium Chloride,"Electrolyte Supplement, Oral"
Magnesium Hydroxide,Antacid
Magnesium L-lactate,Electrolyte Supplement
Magnesium Oxide,"Electrolyte Supplement, Oral"
Magnesium Salicylate,Salicylate
"Sodium Sulfate, Potassium Sulfate, Magnesium Sulfate Oral Solution",Laxatives
Magnevist,Magnetic resonance imaging contrast media
Makena,Progestins
Malarone,Antimalarial combinations
Malathion, Scabicides and Pediculicides
Erythromycin (EENT), Antibacterials
Maprotiline, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Maraviroc, HIV Entry and Fusion Inhibitors
Marcaine Spinal,Local injectable anesthetics
Margenza,HER2 inhibitors
Margesic,Analgesic combinations
Marinol,Miscellaneous antiemetics
Marplan,Monoamine oxidase inhibitors
Matulane,Miscellaneous antineoplastics
Matzim LA,Calcium channel blocking agents
Mavenclad,Antimetabolites
Erythromycin and Benzoyl Peroxide,Acne Products
Mavik,Angiotensin Converting Enzyme Inhibitors
Mavyret,Antiviral combinations
Maxair,Adrenergic bronchodilators
Maxair Autohaler,Adrenergic bronchodilators
Maxalt,Antimigraine agents
Maxalt-MLT,Antimigraine agents
Maxidex,Ophthalmic steroids
Dexamethasone (Ophthalmic),"Anti-inflammatory Agent, Ophthalmic"
Maxidone,Narcotic analgesic combinations
Maxipime,Fourth generation cephalosporins
Erythromycin and Sulfisoxazole,Miscellaneous antibiotics
Maxitrol Ophthalmic Ointment,Ophthalmic steroids with anti-infectives
Maxitrol Ophthalmic Suspension,Ophthalmic steroids with anti-infectives
Maxzide,Potassium sparing diuretics with thiazides
Mayzent,Selective immunosuppressants
D-Penamine,Antirheumatics
Haegarda,Hereditary angioedema agents
Haemophilus b Conjugate Vaccine,Vaccine
Halaven,Mitotic inhibitors
Halcinonide Cream,Topical steroids
Phenytoin, Hydantoins
Zubsolv,Narcotic analgesic combinations
Halcinonide,"Corticosteroid, Topical"
Halcion,Benzodiazepines
Haldol,Miscellaneous antipsychotic agents
Haldol Decanoate,Miscellaneous antipsychotic agents
HalfLytely and Bisacodyl,Laxatives
Halobetasol and Tazarotene,"Corticosteroid, Topical"
Halog Solution,Topical steroids
Ultravate Lotion,Topical steroids
Fluoxymesterone, Androgens
Harvoni,Antiviral combinations
Zulresso,Miscellaneous antidepressants
Havrix,Viral vaccines
Emadine,Ophthalmic antihistamines and decongestants
Emapalumab-lzsg, Immunosuppressive Agents
Embeda,Narcotic analgesic combinations
Emcyt,Hormones / antineoplastics
Emedastine, Antiallergic Agents
Emend,NK1 receptor antagonists
Fosaprepitant,Antiemetic
Emend for Injection,NK1 receptor antagonists
Ephedrine, alpha- and beta-Adrenergic Agonists
Drospirenone and Ethinyl Estradiol,Contraceptives
Emflaza,Glucocorticoids
Emgality,CGRP inhibitors
Emicizumab-kxwh, Hemostatics
EMLA,Topical anesthetics
Emoquette,Contraceptives
Empagliflozin, Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors
Empagliflozin and Linagliptin,"Antidiabetic Agent, Dipeptidyl Peptidase 4 (DPP-4) Inhibitor"
Empagliflozin and Metformin,"Antidiabetic Agent, Biguanide"
"Empagliflozin, Linagliptin, and Metformin","Antidiabetic Agent, Biguanide"
Empaveli,Selective immunosuppressants
Zuplenz,5HT3 receptor antagonists
Empliciti,Miscellaneous antineoplastics
Emsam,Dopaminergic antiparkinsonism agents
Emtricitabine, HIV Nucleoside and Nucleotide Reverse Transcriptase Inhibitors
Emtricitabine and Tenofovir Tablets,Antiviral combinations
Emtricitabine and Tenofovir Disoproxil Fumarate,"Antiretroviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HIV)"
Emtricitabine and Tenofovir Alafenamide,"Antiretroviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HIV)"
"Emtricitabine, Rilpivirine, and Tenofovir Disoproxil Fumarate","Antiretroviral, Reverse Transcriptase Inhibitor, Non-nucleoside (Anti-HIV)"
"Emtricitabine, Rilpivirine, and Tenofovir Alafenamide","Antiretroviral, Reverse Transcriptase Inhibitor, Non-nucleoside (Anti-HIV)"
Emtriva,Nucleoside reverse transcriptase inhibitors (NRTIs)
Emverm,Anthelmintics
Zurampic,Antihyperuricemic agents
Febuxostat, Antigout Agents
Fedratinib, Antineoplastic Agents
Felbamate," Anticonvulsants, Miscellaneous"
Felbatol,Carbamate anticonvulsants
Feldene,Nonsteroidal anti-inflammatory drugs
Felodipine, Dihydropyridines
Femara,Aromatase inhibitors
Femcon Fe,Contraceptives
Femhrt,Contraceptives
Zutripro,Upper respiratory combinations
Femring,Estrogens
Femtrace,Estrogens
Femynor,Contraceptives
Fenfluramine,"Anticonvulsant, Miscellaneous"
Fenofibric Acid/Fenofibrate, Fibric Acid Derivatives
Fenofibric Acid,Fibric acid derivatives
Fenoglide,Fibric acid derivatives
Fenoldopam, Direct Vasodilators
Leuprolide, Gonadotropins
Fentora,Narcotic analgesics
"Phenobarbital, Hyoscyamine Sulfate, Atropine Sulfate and Scopolamine Hydrobromide Tablets",Anticholinergics / antispasmodics
Feraheme,Iron products
Ferric Citrate, Phosphate-removing Agents
Sodium Ferric Gluconate, Iron Preparations
Ferric Subsulfate,Hemostatic Agent
Ferric Carboxymaltose, Iron Preparations
Ferric Derisomaltose, Iron Preparations
Ferric Pyrophosphate Citrate,Iron Preparations
Ferriprox,Antidotes
Ferrlecit,Iron products
Ferrous Sulfate,Iron Preparations
SE BPO Wash,Topical acne agents
Ferrous Fumarate,Iron Preparations
Ferrous Gluconate,Iron Preparations
Ferumoxytol, Iron Preparations
Fesoterodine, Genitourinary Smooth Muscle Relaxants
Fetroja,Fourth generation cephalosporins
Fetzima,Serotonin-norepinephrine reuptake inhibitors
Levomilnacipran, Selective Serotonin- and Norepinephrine-reuptake Inhibitors
Fexmid,Skeletal muscle relaxants
TL-HIST DM Liquid,Upper respiratory combinations
X-Viate,Topical emollients
SE BPO Cream,Topical acne agents
Aemcolo,Rifamycin derivatives
Aerobid,Inhaled corticosteroids
Flunisolide, Adrenals
Aerospan,Inhaled corticosteroids
Ibalizumab-uiyk, HIV Entry and Fusion Inhibitors
Ibandronate, Bone Resorption Inhibitors
Irbesartan, Angiotensin II Receptor Antagonists
Ibrance,CDK 4 / 6 inhibitors
Ibritumomab, Antineoplastic Agents
Ibrutinib, Antineoplastic Agents
Selenious Acid, Replacement Preparations
Ibsrela,NHE3 inhibitors
IBU Tablets,Nonsteroidal anti-inflammatory drugs
Hydrocodone and Ibuprofen,Analgesic Combination (Opioid)
Ibudone,Narcotic analgesic combinations
Ibuprofen PM,Analgesic combinations
Ibuprofen and Phenylephrine,"Analgesic, Nonopioid"
Ibutilide, Class III Antiarrhythmics
Xulane,Contraceptives
Xultophy 100/3.6,Antidiabetic combinations
Xuriden,Antidotes
Phesgo,HER2 inhibitors
Se-Donna Pb Hyos,Anticholinergics / antispasmodics
IDArubicin, Antineoplastic Agents
Idamycin PFS,Antibiotics / antineoplastics
Idarucizumab," Antihemorrhagic Agents, Miscellaneous"
Idelalisib, Antineoplastic Agents
Idelvion,Miscellaneous coagulation modifiers
IDHIFA,Miscellaneous antineoplastics
Idursulfase, Enzymes
AN-DTPA,Antidotes
Anadrol,Androgens and anabolic steroids
Anafranil,Tricyclic antidepressants
Omega-3-acid Ethyl Esters," Antilipemic Agents, Miscellaneous"
Anagrelide, Platelet-reducing Agents
Anakinra, Disease-modifying Antirheumatic Drugs
Analpram HC Cream,Anorectal preparations
Analpram HC,Anorectal preparations
Anascorp Injection,Antitoxins and antivenins
Anastrozole, Antiestrogens
Ancef,First generation cephalosporins
Ancobon,Miscellaneous antifungals
Andexxa,Anticoagulant reversal agents
AndroGel,Androgens and anabolic steroids
Seasonale,Contraceptives
Androderm,Androgens and anabolic steroids
Android,Androgens and anabolic steroids
Succinylcholine, Neuromuscular Blocking Agents
Anestacon Jelly,Topical anesthetics
Angeliq,Sex hormone combinations
Angiomax,Thrombin inhibitors
Angiotensin II, Renin-Angiotensin-Aldosterone System (RAAS)
